Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,Genotype,Developmental_stage,sex,Development_stage,sex_type,tissue,Cell_Line,stage,chip_antibody,Library Name,chip_antibody_supplier,transgene,antibody_manufacturer,input_experiment/sample
SRR947598,ChIP-Seq,42,791902188,PRJNA63455,SAMN02264770,499796264,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331361,GSM1195435,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1195435,seq-ab9051_H4K20me1_N2_Mxemb_Input_Rep1,SRP028493,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR947599,ChIP-Seq,42,560214690,PRJNA63455,SAMN02264767,407019612,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331362,GSM1195436,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1195436,seq-ab9051_H4K20me1_N2_Mxemb_Input_Rep2,SRP028493,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR947600,ChIP-Seq,42,565695396,PRJNA63455,SAMN02264764,350608794,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331363,GSM1195437,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1195437,seq-ab9051_H4K20me1_N2_Mxemb_ChIP_Rep1,SRP028493,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR947601,ChIP-Seq,42,860152650,PRJNA63455,SAMN02264765,1038010963,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331364,GSM1195438,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1195438,seq-ab9051_H4K20me1_N2_Mxemb_ChIP_Rep2,SRP028493,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198368,ChIP-Seq,50,279773950,PRJNA63455,SAMN02338429,177948284,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494836,GSM1217251,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217251,seq-SN147_H4K20me1_N2_L3_Input_Rep1,SRP007859,N2,wild type,L3 Larva,,,mixed Male and Hermaphrodite,,,,,,,,,
SRR1198369,ChIP-Seq,75,3005634225,PRJNA63455,SAMN02338431,2738395721,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494837,GSM1217252,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217252,seq-SN147_H4K20me1_N2_L3_Input_Rep2,SRP007859,N2,wild type,L3 Larva,,,mixed Male and Hermaphrodite,,,,,,,,,
SRR1198370,ChIP-Seq,50,1679809200,PRJNA63455,SAMN02338434,996665154,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494838,GSM1217253,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217253,seq-SN147_H4K20me1_N2_L3_ChIP_Rep1,SRP007859,N2,wild type,L3 Larva,,,mixed Male and Hermaphrodite,,,,,,,,,
SRR1198371,ChIP-Seq,50,1069073650,PRJNA63455,SAMN02338432,674947783,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494839,GSM1217254,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217254,seq-SN147_H4K20me1_N2_L3_ChIP_Rep2,SRP007859,N2,wild type,L3 Larva,,,mixed Male and Hermaphrodite,,,,,,,,,
SRR1198392,ChIP-Seq,50,919447300,PRJNA63455,SAMN02338474,578303041,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494860,GSM1217275,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217275,seq-SDQ0835_SCC1_FEM2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198393,ChIP-Seq,50,1051387400,PRJNA63455,SAMN02338469,686676150,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494861,GSM1217276,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217276,seq-SDQ0835_SCC1_FEM2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
