input;ip;name;group
SRR947598;SRR947600;ab9051_H4K20me1_N2_Mxemb_ChIP_Rep1;1
SRR947599;SRR947601;ab9051_H4K20me1_N2_Mxemb_ChIP_Rep2;1
SRR1198368;SRR1198370;SN147_H4K20me1_N2_L3_ChIP_Rep1;24
SRR1198369;SRR1198371;SN147_H4K20me1_N2_L3_ChIP_Rep2;24
SRR1198392;SRR1198393;SDQ0835_SCC1_FEM2_AD_ChIP_Rep1;8
SRR1198420;SRR1198421;SDQ3942_KLE2_FEM2_AD_ChIP_Rep1;14
SRR1198422;SRR1198424;SDQ3948_COH3_FEM2_AD_ChIP_Rep1;15
SRR1198423;SRR1198425;SDQ3948_COH3_FEM2_AD_ChIP_Rep2;15
SRR1198430;SRR1198432;SDQ3953_REC8_FEM2_AD_ChIP_Rep1;16
SRR1198431;SRR1198433;SDQ3953_REC8_FEM2_AD_ChIP_Rep2;16
SRR1198442;SRR1198444;SDQ3972_COH3_FEM2_AD_ChIP_Rep1;17
SRR1198443;SRR1198445;SDQ3972_COH3_FEM2_AD_ChIP_Rep2;17
SRR1198514;SRR1198516;ab9051_H4K20me1_TY1072_Mxemb_ChIP_Rep1;2
SRR1198515;SRR1198517;ab9051_H4K20me1_TY1072_Mxemb_ChIP_Rep2;2
SRR1198527;SRR1198528;OD0039_SMC4_N2_Mxemb_ChIP_Rep2;3
SRR1198541;SRR1198543;SDQ3499_DPY30_N2_Mxemb_ChIP_Rep1;9
SRR1198542;SRR1198544;SDQ3499_DPY30_N2_Mxemb_ChIP_Rep2;9
SRR1198549;SRR1198551;SDQ3856_SDC1_N2_Mxemb_ChIP_Rep1;10
SRR1198550;SRR1198552;SDQ3856_SDC1_N2_Mxemb_ChIP_Rep2;10
SRR1198553;SRR1198555;SDQ3892_MIX1_N2_Mxemb_ChIP_Rep1;11
SRR1198554;SRR1198556;SDQ3892_MIX1_N2_Mxemb_ChIP_Rep2;11
SRR1198581;SRR1198583;SDQ4481_PQN85_N2_Mxemb_ChIP_Rep1;18
SRR1198582;SRR1198584;SDQ4481_PQN85_N2_Mxemb_ChIP_Rep2;18
SRR1198585;SRR1198587;SDQ4493_MAU2_N2_Mxemb_ChIP_Rep1;19
SRR1198586;SRR1198588;SDQ4493_MAU2_N2_Mxemb_ChIP_Rep2;19
SRR1198589;SRR1198591;SDQ4496_DPY26_N2_Mxemb_ChIP_Rep1;20
SRR1198590;SRR1198592;SDQ4496_DPY26_N2_Mxemb_ChIP_Rep2;20
SRR1198597;SRR1198599;SDQ0802_REC8_fem2_AD_ChIP_Rep1;4
SRR1198598;SRR1198600;SDQ0802_REC8_fem2_AD_ChIP_Rep2;4
SRR1198601;SRR1198603;SDQ3914_REC8_fem2_AD_ChIP_Rep1;13
SRR1198602;SRR1198604;SDQ3914_REC8_fem2_AD_ChIP_Rep2;13
SRR1198605;SRR1198607;SDQ4561_DPY26_N2_Mxemb_ChIP_Rep1;21
SRR1198606;SRR1198608;SDQ4561_DPY26_N2_Mxemb_ChIP_Rep2;21
SRR1198609;SRR1198611;SDQ0809_COH1_fem2_AD_ChIP_Rep1;5
SRR1198610;SRR1198612;SDQ0809_COH1_fem2_AD_ChIP_Rep2;5
SRR1198613;SRR1198615;SDQ4562_SMC6_N2_Mxemb_ChIP_Rep1;22
SRR1198614;SRR1198616;SDQ4562_SMC6_N2_Mxemb_ChIP_Rep2;22
SRR1198617;SRR1198619;SDQ4564_DPY28_N2_Mxemb_ChIP_Rep1;23
SRR1198618;SRR1198620;SDQ4564_DPY28_N2_Mxemb_ChIP_Rep2;23
SRR1163648;SRR1163650;SDQ3898_KLE2_FEM2_AD_ChIP_Rep2;12
SRR1163629;SRR1163631;SDQ0812_COH1_FEM2_AD_ChIP_Rep1;6
SRR1163630;SRR1163632;SDQ0812_COH1_FEM2_AD_ChIP_Rep2;6
SRR1163633;SRR1163634;SDQ0821_SCC1_FEM2_AD_ChIP_Rep1;7
SRR1163647;SRR1163649;SDQ3898_KLE2_FEM2_AD_ChIP_Rep1;12
