input;ip;name;group
SRR190660 SRR190661 SRR190662;SRR190663;H3_mE3562_N2_L3_herm_AB1791;5
SRR190660 SRR190661 SRR190662;SRR190664;H3_mE3562_N2_L3_herm_AB1791;5
SRR190662 SRR340086;SRR340085;H3K36me3_mE3563_N2_L3_herm_AB9050;6
SRR190662 SRR340086;SRR340087;H3K36me3_mE3563_N2_L3_herm_AB9050;6
SRR190660 SRR192330;SRR190666;LIN52_mE3565_N2_L3_herm_BH00001;11
SRR190660 SRR192330;SRR190667;LIN52_mE3565_N2_L3_herm_BH00001;11
SRR190660 SRR192330;SRR190670;LIN37_mE3566_N2_L3_herm_BH00003;10
SRR190660 SRR192330;SRR190671;LIN37_mE3566_N2_L3_herm_BH00003;10
SRR190660 SRR192330;SRR190672;LIN54_mE3567_N2_L3_herm_BH00004;12
SRR190660 SRR192330;SRR190673;LIN54_mE3567_N2_L3_herm_BH00004;12
SRR190660 SRR192330;SRR190674;LIN9_mE3568_N2_L3_herm_BH00005;13
SRR190660 SRR192330;SRR190675;LIN9_mE3568_N2_L3_herm_BH00005;13
SRR190660 SRR192330;SRR190680;LIN35_mE3570_N2_L3_herm_JA00011;9
SRR190660 SRR192330;SRR190681;LIN35_mE3570_N2_L3_herm_JA00011;9
SRR190661 SRR190662;SRR340088;DPY27_mE3571_N2_L3_herm_JL00001;2
SRR190661 SRR190662;SRR340089;DPY27_mE3571_N2_L3_herm_JL00001;2
SRR192330 SRR190676;SRR190684;H4tetraac_mE3572_N2_L3_herm_LPAR109;8
SRR192330 SRR190676;SRR190685;H4tetraac_mE3572_N2_L3_herm_LPAR109;8
SRR190687 SRR190689;SRR190686;EPC1_mE3573_N2_L3_herm_SDQ0820;4
SRR190687 SRR190689;SRR190688;EPC1_mE3573_N2_L3_herm_SDQ0820;4
SRR190660 SRR192330;SRR190692;EFL1_mE3577_N2_L3_herm_SDQ3590;3
SRR190660 SRR192330;SRR190693;EFL1_mE3577_N2_L3_herm_SDQ3590;3
SRR190660 SRR192330;SRR190696;DPL1_mE3575_N2_L3_herm_SDQ3599;1
SRR190660 SRR192330;SRR190697;DPL1_mE3575_N2_L3_herm_SDQ3599;1
SRR192330 SRR190676;SRR190704;H3K9ac_mE3576_N2_L3_herm_WA30932379;7
SRR192330 SRR190676;SRR190705;H3K9ac_mE3576_N2_L3_herm_WA30932379;7
