input;ip;name;group
SRR1163549;SRR1163551;H3K18ac_N2_L3_maleherm_rep1_AB1191_mE5046;2
SRR1163550;SRR1163552;H3K18ac_N2_L3_maleherm_rep2_AB1191_mE5046;2
SRR947582;SRR947584;H3K9acS10_N2_L3_maleherm_rep1_ab12181_mE5988;12
SRR947583;SRR947585;H3K9acS10_N2_L3_maleherm_rep2_ab12181_mE5988;12
SRR1198506;SRR1198508;H4K8ac_N2_L3_maleherm_rep1_ab15823_mE6002;16
SRR1198507;SRR1198509;H4K8ac_N2_L3_maleherm_rep2_ab15823_mE6002;16
SRR1163521;SRR1163523;H3K79me3_N2_L3_maleherm_rep1_AB2621_mE5032;10
SRR1163522;SRR1163524;H3K79me3_N2_L3_maleherm_rep2_AB2621_mE5032;10
SRR1163553;SRR1163555;H3K79me2_N2_L3_maleherm_rep1_AB3594_mE5047;9
SRR1163554;SRR1163556;H3K79me2_N2_L3_maleherm_rep2_AB3594_mE5047;9
SRR1265830;SRR1265832;H3K4me1_N2_L3_maleherm_rep1_ab8895_mE5048;8
SRR1265831;SRR1265833;H3K4me1_N2_L3_maleherm_rep2_ab8895_mE5048;8
SRR1265826;SRR1265828;H3K9me1_N2_L3_maleherm_rep1_ab8896_mE5036;13
SRR1265827;SRR1265829;H3K9me1_N2_L3_maleherm_rep2_ab8896_mE5036;13
SRR1163525;SRR1163527;H3K9me3_N2_L3_maleherm_rep1_AB8898_mE5037;15
SRR1163526;SRR1163528;H3K9me3_N2_L3_maleherm_rep2_AB8898_mE5037;15
SRR1163557;SRR1163559;H3K36me1_N2_L3_maleherm_rep1_ab9048_mE5049;6
SRR1163558;SRR1163560;H3K36me1_N2_L3_maleherm_rep2_ab9048_mE5049;6
SRR1265810;SRR1265812;H3_N2_L3_maleherm_rep1_AR0144_mE3564;1
SRR1265811;SRR1265813;H3_N2_L3_maleherm_rep2_AR0144_mE3564;1
SRR1163561;SRR1163563;H3K9me2_N2_L3_maleherm_rep1_HK00008_mE5050;14
SRR1163562;SRR1163564;H3K9me2_N2_L3_maleherm_rep2_HK00008_mE5050;14
SRR1163529;SRR1163531;H3K9me3_N2_L3_maleherm_rep1_HK00009_mE5040;15
SRR1163530;SRR1163532;H3K9me3_N2_L3_maleherm_rep2_HK00009_mE5040;15
SRR1163533;SRR1163535;H3K36me2_N2_L3_maleherm_rep1_HK00012_mE5041;7
SRR1163534;SRR1163536;H3K36me2_N2_L3_maleherm_rep2_HK00012_mE5041;7
SRR1163537;SRR1163539;H3K36ac_N2_L3_maleherm_rep1_NB211254_mE5043;5
SRR1163538;SRR1163540;H3K36ac_N2_L3_maleherm_rep2_NB211254_mE5043;5
SRR1163541;SRR1163543;H3K27me1_N2_L3_maleherm_rep1_UP07448_mE5044;3
SRR1163542;SRR1163544;H3K27me1_N2_L3_maleherm_rep2_UP07448_mE5044;3
SRR1163545;SRR1163547;H3K27me3_N2_L3_maleherm_rep1_UP07449_mE5045;4
SRR1163546;SRR1163548;H3K27me3_N2_L3_maleherm_rep2_UP07449_mE5045;4
SRR1265814;SRR1265816;H3K9ac_N2_L3_maleherm_rep1_WA30932379_mE3578;11
SRR1265815;SRR1265817;H3K9ac_N2_L3_maleherm_rep2_WA30932379_mE3578;11
