input;ip;name;group
SRR1198629;SRR1198631;RPC1_mE6300_N2_L3_maleherm_SDQ4663;8
SRR1198630;SRR1198632;RPC1_mE6300_N2_L3_maleherm_SDQ4663;8
SRR1198518;SRR1198520;ZFP1_mE6213_N2_L3_maleherm_JL00006;9
SRR1198519;SRR1198521;ZFP1_mE6213_N2_L3_maleherm_JL00006;9
SRR1198502;SRR1198504;NURF1_mE5987_N2_L3_maleherm_SDQ3528;7
SRR1198503;SRR1198505;NURF1_mE5987_N2_L3_maleherm_SDQ3528;7
SRR1198498;SRR1198500;NURF1_mE5986_N2_L3_maleherm_SDQ3525;7
SRR1198499;SRR1198501;NURF1_mE5986_N2_L3_maleherm_SDQ3525;7
SRR1198494;SRR1198496;NURF1_mE5985_N2_L3_maleherm_SDQ2940;7
SRR1198495;SRR1198497;NURF1_mE5985_N2_L3_maleherm_SDQ2940;7
SRR1198490;SRR1198492;LIN61_mE5980_N2_L3_maleherm_HM4077;6
SRR1198491;SRR1198493;LIN61_mE5980_N2_L3_maleherm_HM4077;6
SRR947578;SRR947580;LIN61_mE5979_N2_L3_maleherm_SDQ3520;6
SRR947579;SRR947581;LIN61_mE5979_N2_L3_maleherm_SDQ3520;6
SRR1163643;SRR1163645;HPL2_mE5976_N2_L3_maleherm_SDQ2340;2
SRR1163644;SRR1163646;HPL2_mE5976_N2_L3_maleherm_SDQ2340;2
SRR1198486;SRR1198488;LET418_mE5975_N2_L3_maleherm_SDQ2342;4
SRR1198487;SRR1198489;LET418_mE5975_N2_L3_maleherm_SDQ2342;4
SRR1198483;SRR1198484;LET418_mE5974_N2_L3_maleherm_SDQ3861;4
SRR1198479;SRR1198481;HDA1_mE5973_N2_L3_maleherm_SDQ2354;1
SRR1198480;SRR1198482;HDA1_mE5973_N2_L3_maleherm_SDQ2354;1
SRR1198351;SRR1198353;LIN53_mE3574_N2_L3_maleherm_SDQ2370;5
SRR1198352;SRR1198354;LIN53_mE3574_N2_L3_maleherm_SDQ2370;5
SRR1159142;SRR1159144;HTZ1_mE3569_N2_L3_maleherm_JA00001;3
SRR1159143;SRR1159145;HTZ1_mE3569_N2_L3_maleherm_JA00001;3
