inputs,IP,basename,Group
SRR947267,SRR947268,FKH-2_L3_herm_N2,1
SRR947272,SRR947273,MML-1_L3_herm_N2,2
SRR947274,SRR947275,MML-1_L3_herm_N2,2
SRR947276,SRR947277,NHR-76_L3_herm_N2,3
SRR947362,SRR947363,NHR-23_L3_herm_N2,4
SRR947364,SRR947365,NHR-23_L3_herm_N3,4
SRR947366,SRR947367,SKN-1_L3_herm_N2,5
SRR947368,SRR947369,SKN-1_L3_herm_N2,5
SRR947391,SRR947392,ELT-1_L3_herm_N2,6
SRR947409,SRR947410,NHR-237_L3_herm_N2,7
SRR947411,SRR947412,NHR-237_L3_herm_N2,7
SRR947433,SRR947434,NHR-11_L3_herm_N2,8
SRR947435,SRR947436,NHR-11_L3_herm_N2,8
SRR947485,SRR947486,NHR-67_L3_herm_N2,9
SRR947487,SRR947488,NHR-67_L3_herm_N2,9
SRR947558,SRR947559,NFYA-1_L3_herm_N2,10
SRR947560,SRR947561,NFYA-1_L3_herm_N2,10
SRR947578,SRR947580,LIN-61_L3_herm-male_N2,11
SRR947579,SRR947581,LIN-61_L3_herm-male_N2,11
SRR947582,SRR947584,H3K9acS10_L3_herm-male_N2,12
SRR947583,SRR947585,H3K9acS10_L3_herm-male_N2,12
SRR192330,SRR190694,H3K4me3_L3_herm_N2,13
SRR190676,SRR190695,H3K4me3_L3_herm_N2,13
SRR190662,SRR340085,H3K36me3_L3_herm_N2,14
SRR340086,SRR340087,H3K36me3_L3_herm_N2,14
SRR849515,SRR849517,ZTF-11_L3_herm_N2,15
SRR849516,SRR849518,ZTF-11_L3_herm_N2,15
SRR849693,SRR849695,JUN-1_L3_herm_N2,16
SRR849694,SRR849696,JUN-1_L3_herm_N2,16
SRR849729,SRR849731,NHR-12_L3_herm_N2,17
SRR849730,SRR849732,NHR-12_L3_herm_N2,17
SRR849745,SRR849747,CEH-28_L3_herm_N2,18
SRR849746,SRR849748,CEH-28_L3_herm_N2,18
SRR701502,SRR701504,R02D3.7_L3_herm_N2,19
SRR701503,SRR701505,R02D3.7_L3_herm_N2,19
SRR1159142,SRR1159144,HTZ-1_L3_herm-male_N2,20
SRR1159143,SRR1159145,HTZ-1_L3_herm-male_N2,20
SRR1163521,SRR1163523,H3K79me3_L3_herm-male_N2,21
SRR1163522,SRR1163524,H3K79me3_L3_herm-male_N2,21
SRR1163525,SRR1163527,H3K9me3_L3_herm-male_N2,22
SRR1163526,SRR1163528,H3K9me3_L3_herm-male_N2,22
SRR1163529,SRR1163531,H3K9me3_L3_herm-male_N2,22
SRR1163530,SRR1163532,H3K9me3_L3_herm-male_N2,22
SRR1163533,SRR1163535,H3K36me2_L3_herm-male_N2,23
SRR1163534,SRR1163536,H3K36me2_L3_herm-male_N2,23
SRR1163537,SRR1163539,H3K36ac_L3_herm-male_N2,24
SRR1163538,SRR1163540,H3K36ac_L3_herm-male_N2,24
SRR1163541,SRR1163543,H3K27me1_L3_herm-male_N2,25
SRR1163542,SRR1163544,H3K27me1_L3_herm-male_N2,25
SRR1163545,SRR1163547,H3K27me3_L3_herm-male_N2,26
SRR1163546,SRR1163548,H3K27me3_L3_herm-male_N2,26
SRR1163549,SRR1163551,H3K18ac_L3_herm-male_N2,27
SRR1163550,SRR1163552,H3K18ac_L3_herm-male_N2,27
SRR1163553,SRR1163555,H3K79me2_L3_herm-male_N2,28
SRR1163554,SRR1163556,H3K79me2_L3_herm-male_N2,28
SRR1163557,SRR1163559,H3K36me1_L3_herm-male_N2,29
SRR1163558,SRR1163560,H3K36me1_L3_herm-male_N2,29
SRR1163561,SRR1163563,H3K9me2_L3_herm-male_N2,30
SRR1163562,SRR1163564,H3K9me2_L3_herm-male_N2,30
SRR1163643,SRR1163645,HPL-2_L3_herm-male_N2,31
SRR1163644,SRR1163646,HPL-2_L3_herm-male_N2,31
SRR707558,SRR707560,ZK377.2_L3_herm_N2,32
SRR707559,SRR707561,ZK377.2_L3_herm_N2,32
SRR1265810,SRR1265812,H3_rep1_L3_herm-male_N2,33
SRR1265811,SRR1265813,H3_rep1_L3_herm-male_N2,33
SRR1265814,SRR1265816,H3K9ac_L3_herm-male_N2,34
SRR1265815,SRR1265817,H3K9ac_L3_herm-male_N2,34
SRR1265826,SRR1265828,H3K9me1_L3_herm-male_N2,35
SRR1265827,SRR1265829,H3K9me1_L3_herm-male_N2,35
SRR1265830,SRR1265832,H3K4me1_L3_herm-male_N2,36
SRR1265831,SRR1265833,H3K4me1_L3_herm-male_N2,36
SRR1198351,SRR1198353,LIN-53_L3_herm-male_N2,37
SRR1198352,SRR1198354,LIN-53_L3_herm-male_N2,37
SRR1198368,SRR1198370,H4K20me1_L3_herm-male_N2,38
SRR1198369,SRR1198371,H4K20me1_L3_herm-male_N2,38
SRR1198479,SRR1198481,HDA-1_L3_herm-male_N2,39
SRR1198480,SRR1198482,HDA-1_L3_herm-male_N2,39
SRR1198483,SRR1198484,LET-418_L3_herm-male_N2,40
SRR1198486,SRR1198488,LET-418_L3_herm-male_N2,40
SRR1198487,SRR1198489,LET-418_L3_herm-male_N2,40
