 Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
 ASH-2;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	ASH-2	Embryos mixed stages 20 degree celsius	Lieb, J.	6291
 DPL-1;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	DPL-1	Larvae L3 stage 20 degree celsius	Lieb, J.	3575
 DPL-1;Late Embryonic stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	DPL-1	Late Embryonic stage 20 degree celsius	Lieb, J.	3935
 EFL-1;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	EFL-1	Larvae L3 stage 20 degree celsius	Lieb, J.	3577
 EFL-1;Late Embryonic stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	EFL-1	Late Embryonic stage 20 degree celsius	Lieb, J.	3934
 EPC-1;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	EPC-1	Larvae L3 stage 20 degree celsius	Lieb, J.	3573
 H2AK5ac;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H2AK5ac	Germline containing Young adult 20 degree celsius	Lieb, J.	5252
 H3;Ab:AB1791 H3 :JL:1;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3	Early Embryos 20 degree celsius	Lieb, J.	5031
 H3;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3	Larvae L3 stage 20 degree celsius	Lieb, J.	3564
 H3;N2;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3	Larvae L3 stage 20 degree celsius	Lieb, J.	3562
 H3K14ac;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K14ac	Germline containing Young adult 20 degree celsius	Lieb, J.	5174
 H3K18ac;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K18ac	Early Embryos 20 degree celsius	Lieb, J.	5152
 H3K18ac;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K18ac	Larvae L3 stage 20 degree celsius	Lieb, J.	5046
 H3K23ac;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K23ac	Early Embryos 20 degree celsius	Lieb, J.	5151
 H3K23ac;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K23ac	Larvae L3 stage 20 degree celsius	Lieb, J.	5053
 H3K27ac;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K27ac	Early Embryos 20 degree celsius	Lieb, J.	5159
 H3K27ac;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K27ac	Germline containing Young adult 20 degree celsius	Lieb, J.	3921
 H3K27ac;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K27ac	Larvae L3 stage 20 degree celsius	Lieb, J.	5054
 H3K27me1;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K27me1	Early Embryos 20 degree celsius	Lieb, J.	5160
 H3K27me1;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K27me1	Larvae L3 stage 20 degree celsius	Lieb, J.	5044
