"order","DCC.id","Name","developmental.stage","antibody","target","strain","temperature","GEO"
"1","modENCODE_6375","seq-SDQ5421 CEC-7 fem-2 AD","Germline containing young adult","Y37D8A.11_SDQ5421","CEC-7","DH245","20 degree celsius","GSM1217543;GSM1217544"
"2","modENCODE_6374","seq-SDQ5413 CEC-7 fem-2 AD","Germline containing young adult","Y37D8A.11_SDQ5413","CEC-7","DH245","20 degree celsius","GSM1217541;GSM1217542"
"3","modENCODE_6344","seq-ab817 8WG16 639746 N2 Eemb","Early Stage Embryos","ABAB817_8WG16:346588","ama-1","N2","20 degree celsius","GSM1217537;GSM1217538;GSM1217539;GSM1217540"
"4","modENCODE_6341","seq-SDQ3927 MRG1 N2 Eemb","Early Stage Embryos","SDQ3927-MRG1","mrg-1","N2","20 degree celsius","GSM1217533;GSM1217534;GSM1217535;GSM1217536"
"5","modENCODE_6329","seq-SDQ3838 T26A5.5 N2 Eemb","Early Stage Embryos","T26A5.5_SDQ3867","T26A5.5","N2","20 degree celsius","GSM1217529;GSM1217530;GSM1217531;GSM1217532"
"6","modENCODE_6301","seq-SDQ2382 him5 fem2 AD","Germline containing young adult","HIM-5_SDQ2382","him-5","DH245","20 degree celsius","GSM1217521;GSM1217522;GSM1217523;GSM1217524"
"7","modENCODE_6300","seq-SDQ4663 RPC1 N2 L3","L3 Larval Stage","SDQ4663_RPC1","RPC-1","N2","20 degree celsius","GSM1217517;GSM1217518;GSM1217519;GSM1217520"
"8","modENCODE_6297","seq-SDQ4640 SWD3 N2 Mxemb","Mixed Stage Embryos","SWD-3_SDQ4640","SWD-3","N2","20 degree celsius","GSM1217513;GSM1217514;GSM1217515;GSM1217516"
"9","modENCODE_6285","seq-SDQ4564 DPY28 N2 Mxemb","Mixed Stage Embryos","DPY-28_SDQ4564","dpy-28","N2","20 degree celsius","GSM1217505;GSM1217506;GSM1217507;GSM1217508"
"10","modENCODE_6283","seq-SDQ4562 SMC6 N2 Mxemb","Mixed Stage Embryos","SMC-6_SDQ4562","smc-6","N2","20 degree celsius","GSM1217501;GSM1217502;GSM1217503;GSM1217504"
"11","modENCODE_6282","seq-SDQ0809 COH1 fem2 AD","Germline containing young adult","COH-1_SDQ0812","coh-1","DH245","20 degree celsius","GSM1217497;GSM1217498;GSM1217499;GSM1217500"
"12","modENCODE_6281","seq-SDQ4561 DPY26 N2 Mxemb","Mixed Stage Embryos","DPY-26_SDQ4561","dpy-26","N2","20 degree celsius","GSM1217493;GSM1217494;GSM1217495;GSM1217496"
"13","modENCODE_6278","seq-SDQ3914 REC8 fem2 AD","Germline containing young adult","REC-8_SDQ3914","rec-8","DH245","20 degree celsius","GSM1217489;GSM1217490;GSM1217491;GSM1217492"
"14","modENCODE_6276","seq-SDQ0802 REC8 fem2 AD","Germline containing young adult","SDQ0802-REC8","rec-8","DH245","20 degree celsius","GSM1217485;GSM1217486;GSM1217487;GSM1217488"
"15","modENCODE_6272","seq-G0655G0656 HTP3 fem2 AD","Germline containing young adult","HTP-3_G0655G0656","htp-3","DH245","20 degree celsius","GSM1217481;GSM1217482;GSM1217483;GSM1217484"
"16","modENCODE_6269","seq-SDQ4496 DPY26 N2 Mxemb","Mixed Stage Embryos","DPY-26_SDQ4496","dpy-26","N2","20 degree celsius","GSM1217477;GSM1217478;GSM1217479;GSM1217480"
"17","modENCODE_6267","seq-SDQ4493 MAU2 N2 Mxemb","Mixed Stage Embryos","MAU-2_SDQ4493","mau-2","N2","20 degree celsius","GSM1217473;GSM1217474;GSM1217475;GSM1217476"
"18","modENCODE_6265","seq-SDQ4481 PQN85 N2 Mxemb","Mixed Stage Embryos","PQN-85_SDQ4481","pqn-85","N2","20 degree celsius","GSM1217469;GSM1217470;GSM1217471;GSM1217472"
"19","modENCODE_6262","seq-SDQ2357 AMA1 fem2 AD","Germline containing young adult","SDQ2357-AMA1","ama-1","DH245","20 degree celsius",""
"20","modENCODE_6257","seq-SDQ4154 IMB1 N2 Mxemb","Mixed Stage Embryos","SDQ4154_IMB1","IMB-1","N2","20 degree celsius","GSM1217465;GSM1217466;GSM1217467;GSM1217468"
"21","modENCODE_6251","seq-SDQ4109 TAF1 N2 Mxemb","Mixed Stage Embryos","TAF-1_SDQ4109","taf-1","N2","20 degree celsius","GSM1217453;GSM1217454;GSM1217455;GSM1217456"
"22","modENCODE_6237","seq-SDQ3892 MIX1 N2 Mxemb","Mixed Stage Embryos","MIX-1_SDQ3892","mix-1","N2","20 degree celsius","GSM1217441;GSM1217442;GSM1217443;GSM1217444"
"23","modENCODE_6235","seq-SDQ3856 SDC1 N2 Mxemb","Mixed Stage Embryos","SDC-1_SDQ3856","sdc-1","N2","20 degree celsius","GSM1217437;GSM1217438;GSM1217439;GSM1217440"
"24","modENCODE_6234","seq-SDQ3582 CBP1 N2 Mxemb","Mixed Stage Embryos","SDQ3582_CBP1","cbp-1","N2","20 degree celsius","GSM1217433;GSM1217434;GSM1217435;GSM1217436"
"25","modENCODE_6232","seq-SDQ3499 DPY30 N2 Mxemb","Mixed Stage Embryos","DPY-30_SDQ3499","dpy-30","N2","20 degree celsius","GSM1217429;GSM1217430;GSM1217431;GSM1217432"
"26","modENCODE_6230","seq-SDQ2357Q2358 AMA1 N2 Mxemb RiIMB1","Mixed Stage Embryos","AMA-1_SDQ2358","ama-1","N2","20 degree celsius","GSM1217425;GSM1217426;GSM1217427;GSM1217428"
