"order"	"DCC.id"	"Name"	"developmental.stage"	"antibody"	"target"	"strain"	"temperature"	"GEO"	"input_1"	"ip_1"	"name_1"	"genotype_1"	"strain_1"	"stage_1"	"sex_1"	"replicate_1"	"group_1"
1	"modENCODE_6375"	"seq-SDQ5421 CEC-7 fem-2 AD"	"Germline containing young adult"	"Y37D8A.11_SDQ5421"	"CEC-7"	"DH245"	"20 degree celsius"	"GSM1217543;GSM1217544"	"SRR1198655"	"SRR1198656"	"seq-SDQ5421_CEC7_fem2_AD_Input_Rep1;seq-SDQ5421_CEC7_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	1
2	"modENCODE_6374"	"seq-SDQ5413 CEC-7 fem-2 AD"	"Germline containing young adult"	"Y37D8A.11_SDQ5413"	"CEC-7"	"DH245"	"20 degree celsius"	"GSM1217541;GSM1217542"	"SRR1198653"	"SRR1198654"	""	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	2
3	"modENCODE_6344"	"seq-ab817 8WG16 639746 N2 Eemb"	"Early Stage Embryos"	"ABAB817_8WG16:346588"	"ama-1"	"N2"	"20 degree celsius"	"GSM1217537;GSM1217538;GSM1217539;GSM1217540"	"SRR1198649"	"SRR1198651"	"seq-ab817_8WG16_639746_N2_Eemb_Input_Rep1;seq-ab817_8WG16_639746_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	3
3	"modENCODE_6344"	"seq-ab817 8WG16 639746 N2 Eemb"	"Early Stage Embryos"	"ABAB817_8WG16:346588"	"ama-1"	"N2"	"20 degree celsius"	"GSM1217537;GSM1217538;GSM1217539;GSM1217540"	"SRR1198650"	"SRR1198652"	"seq-ab817_8WG16_639746_N2_Eemb_Input_Rep2;seq-ab817_8WG16_639746_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	3
4	"modENCODE_6341"	"seq-SDQ3927 MRG1 N2 Eemb"	"Early Stage Embryos"	"SDQ3927-MRG1"	"mrg-1"	"N2"	"20 degree celsius"	"GSM1217533;GSM1217534;GSM1217535;GSM1217536"	"SRR1198645"	"SRR1198647"	"seq-SDQ3927_MRG1_N2_Eemb_Input_Rep1;seq-SDQ3927_MRG1_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	4
4	"modENCODE_6341"	"seq-SDQ3927 MRG1 N2 Eemb"	"Early Stage Embryos"	"SDQ3927-MRG1"	"mrg-1"	"N2"	"20 degree celsius"	"GSM1217533;GSM1217534;GSM1217535;GSM1217536"	"SRR1198646"	"SRR1198648"	"seq-SDQ3927_MRG1_N2_Eemb_Input_Rep2;seq-SDQ3927_MRG1_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	4
5	"modENCODE_6329"	"seq-SDQ3838 T26A5.5 N2 Eemb"	"Early Stage Embryos"	"T26A5.5_SDQ3867"	"T26A5.5"	"N2"	"20 degree celsius"	"GSM1217529;GSM1217530;GSM1217531;GSM1217532"	"SRR1198641"	"SRR1198643"	"seq-SDQ3838_T26A5.5_N2_Eemb_Input_Rep1;seq-SDQ3838_T26A5.5_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	5
5	"modENCODE_6329"	"seq-SDQ3838 T26A5.5 N2 Eemb"	"Early Stage Embryos"	"T26A5.5_SDQ3867"	"T26A5.5"	"N2"	"20 degree celsius"	"GSM1217529;GSM1217530;GSM1217531;GSM1217532"	"SRR1198642"	"SRR1198644"	"seq-SDQ3838_T26A5.5_N2_Eemb_Input_Rep2;seq-SDQ3838_T26A5.5_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	5
6	"modENCODE_6301"	"seq-SDQ2382 him5 fem2 AD"	"Germline containing young adult"	"HIM-5_SDQ2382"	"him-5"	"DH245"	"20 degree celsius"	"GSM1217521;GSM1217522;GSM1217523;GSM1217524"	"SRR1198633"	"SRR1198635"	"seq-SDQ2382_him5_fem2_AD_Input_Rep1;seq-SDQ2382_him5_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	6
6	"modENCODE_6301"	"seq-SDQ2382 him5 fem2 AD"	"Germline containing young adult"	"HIM-5_SDQ2382"	"him-5"	"DH245"	"20 degree celsius"	"GSM1217521;GSM1217522;GSM1217523;GSM1217524"	"SRR1198634"	"SRR1198636"	"seq-SDQ2382_him5_fem2_AD_Input_Rep2;seq-SDQ2382_him5_fem2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	6
